Time,Balance,Cash,Equity,Positions,Daily_return
2016-04-04,2000.0,2000,0.0,0,
2016-04-05,2000.0,2000,0.0,0,0.0
2016-04-06,2000.0,2000,0.0,0,0.0
2016-04-07,2000.0,2000,0.0,0,0.0
2016-04-08,2000.0,2000,0.0,0,0.0
2016-04-11,2000.0,2000,0.0,0,0.0
2016-04-12,2000.0,2000,0.0,0,0.0
2016-04-13,2000.0,2000,0.0,0,0.0
2016-04-14,2000.0,2000,0.0,0,0.0
2016-04-15,2000.0,2000,0.0,0,0.0
2016-04-18,2000.0,2000,0.0,0,0.0
2016-04-19,2000.0,2000,0.0,0,0.0
2016-04-20,2000.0,2000,0.0,0,0.0
2016-04-21,2000.0,2000,0.0,0,0.0
2016-04-22,2000.0,2000,0.0,0,0.0
2016-04-25,2000.0,2000,0.0,0,0.0
2016-04-26,2000.0,2000,0.0,0,0.0
2016-04-27,2000.0,2000,0.0,0,0.0
2016-04-28,2000.0,2000,0.0,0,0.0
2016-04-29,1972.1572397825332,14.187227117738303,1957.970012664795,83,-0.013921380108733339
2016-05-02,1980.4572714445205,14.187227117738303,1966.2700443267822,83,0.00420860542686885
2016-05-03,1949.7472017881485,14.187227117738303,1935.5599746704102,83,-0.01550655502603826
2016-05-04,1958.0472334501358,14.187227117738303,1943.8600063323975,83,0.004256978368464948
2016-05-05,1964.6872271177383,14.187227117738303,1950.5,83,0.0033911304866240943
2016-05-06,1957.2172144529434,14.187227117738303,1943.029987335205,83,-0.0038021383565228772
2016-05-09,1953.8972967741104,14.187227117738303,1939.710069656372,83,-0.0016962438580231387
2016-05-10,1955.5571764585586,14.187227117738303,1941.3699493408203,83,0.0008495224836990722
2016-05-11,1941.4471701261612,14.187227117738303,1927.2599430084229,83,-0.007215338166665197
2016-05-12,1922.357208120546,14.187227117738303,1908.1699810028076,83,-0.00983285164765757
2016-05-13,1908.2472017881485,14.187227117738303,1894.0599746704102,83,-0.00733995028228529
2016-05-16,1932.317277776918,14.187227117738303,1918.1300506591797,83,0.012613709568767728
2016-05-17,1919.037290441713,14.187227117738303,1904.8500633239746,83,-0.006872570818433843
2016-05-18,1966.347265112123,14.187227117738303,1952.1600379943848,83,0.024652973085020458
2016-05-19,1943.9372271177383,14.187227117738303,1929.75,83,-0.01139678549765566
2016-05-20,1998.7172144529434,14.187227117738303,1984.529987335205,83,0.028179915776615383
2016-05-23,2028.597265112123,14.187227117738303,2014.4100379943848,83,0.014949613903914916
2016-05-24,2045.1971701261612,14.187227117738303,2031.0099430084229,83,0.008182947546821584
2016-05-25,2057.64729677411,14.187227117738303,2043.460069656372,83,0.006087494560331752
2016-05-26,2071.7573031065076,14.187227117738303,2057.5700759887695,83,0.006857349339956631
2016-05-27,2072.5871637937635,14.187227117738303,2058.3999366760254,83,0.00040055883283796057
2016-05-31,2065.947170126161,14.187227117738303,2051.759943008423,83,-0.0032037222769673024
2016-06-01,2109.937227117738,14.187227117738303,2095.75,83,0.021292924440507788
2016-06-02,2104.127252447328,14.187227117738303,2089.94002532959,83,-0.0027536244186500136
2016-06-03,2133.177284109315,14.187227117738303,2118.990056991577,83,0.013806214252583437
2016-06-06,2128.197170126161,14.187227117738303,2114.009943008423,83,-0.002334599201038179
2016-06-07,2177.167182790956,14.187227117738303,2162.979955673218,83,0.02301009199344617
2016-06-08,2199.5772207853406,14.187227117738303,2185.3899936676025,83,0.010293209530035652
2016-06-09,2191.2771891233533,14.187227117738303,2177.0899620056152,83,-0.0037734668206028665
2016-06-10,2160.5672777769178,14.187227117738303,2146.3800506591797,83,-0.014014617365099902
2016-06-13,2141.477157461366,14.187227117738303,2127.289930343628,83,-0.008835698157566352
2016-06-14,2136.4972017881482,14.187227117738303,2122.30997467041,83,-0.0023254769054465996
2016-06-15,2158.907239782533,14.187227117738303,2144.720012664795,83,0.010489149237185247
2016-06-16,2160.5672777769178,14.187227117738303,2146.3800506591797,83,0.0007689251134994635
2016-06-17,2159.7372587797254,14.187227117738303,2145.5500316619873,83,-0.0003841671609718933
2016-06-20,2202.89729677411,14.187227117738303,2188.710069656372,83,0.019983929905793563
2016-06-21,2221.157239782533,14.187227117738303,2206.970012664795,83,0.008289057794552024
2016-06-22,2217.0073031065076,14.187227117738303,2202.8200759887695,83,-0.0018683669042861561
2016-06-23,2239.417182790956,14.187227117738303,2225.229955673218,83,0.010108166830595122
2016-06-24,2145.627252447328,14.187227117738303,2131.44002532959,83,-0.04188140158268272
2016-06-27,2110.7672461149305,2110.7672461149305,0.0,0,-0.016247000168661985
2016-06-28,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-06-29,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-06-30,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-01,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-05,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-06,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-07,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-08,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-11,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-12,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-13,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-14,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-15,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-18,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-19,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-20,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-21,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-22,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-25,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-26,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-27,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-28,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-07-29,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-01,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-02,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-03,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-04,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-05,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-08,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-09,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-10,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-11,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-12,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-15,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-16,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-17,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-18,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-19,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-22,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-23,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-24,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-25,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-26,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-29,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-30,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-08-31,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-01,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-02,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-06,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-07,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-08,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-09,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-12,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-13,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-14,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-15,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-16,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-19,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-20,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-21,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-22,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-23,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-26,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-27,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-28,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-29,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-09-30,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-10-03,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-10-04,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-10-05,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-10-06,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-10-07,2110.7672461149305,2110.7672461149305,0.0,0,0.0
2016-10-10,2110.7672461149305,2110.7672461149305,0.0,0,0.0
