Time,Balance,Cash,Equity,Positions
2019-12-20,2000.0,2000,0.0,0
2019-12-23,2000.0,2000,0.0,0
2019-12-24,2000.0,2000,0.0,0
2019-12-26,2000.0,2000,0.0,0
2019-12-27,2000.0,2000,0.0,0
2019-12-30,2000.0,2000,0.0,0
2019-12-31,2000.0,2000,0.0,0
2020-01-02,2000.0,2000,0.0,0
2020-01-03,2000.0,2000,0.0,0
2020-01-06,2000.0,2000,0.0,0
2020-01-07,2000.0,2000,0.0,0
2020-01-08,2000.0,2000,0.0,0
2020-01-09,2000.0,2000,0.0,0
2020-01-10,2000.0,2000,0.0,0
2020-01-13,2000.0,2000,0.0,0
2020-01-14,2000.0,2000,0.0,0
2020-01-15,2000.0,2000,0.0,0
2020-01-16,2000.0,2000,0.0,0
2020-01-17,2000.0,2000,0.0,0
2020-01-21,2000.0,2000,0.0,0
2020-01-22,2000.0,2000,0.0,0
2020-01-23,2000.0,2000,0.0,0
2020-01-24,2000.0,2000,0.0,0
2020-01-27,2000.0,2000,0.0,0
2020-01-28,2000.0,2000,0.0,0
2020-01-29,2000.0,2000,0.0,0
2020-01-30,2000.0,2000,0.0,0
2020-01-31,2000.0,2000,0.0,0
2020-02-03,2082.409969329834,6.079984664916992,2076.329984664917,201
2020-02-04,2004.0199003219604,6.079984664916992,1997.9399156570435,201
2020-02-05,2006.0299463272095,6.079984664916992,1999.9499616622925,201
2020-02-06,1995.979907989502,6.079984664916992,1989.899923324585,201
2020-02-07,2006.0299463272095,6.079984664916992,1999.9499616622925,201
2020-02-10,2006.0299463272095,6.079984664916992,1999.9499616622925,201
2020-02-11,2012.059892654419,2012.059892654419,0.0,0
2020-02-12,2012.059892654419,2012.059892654419,0.0,0
2020-02-13,2012.059892654419,2012.059892654419,0.0,0
2020-02-14,2012.059892654419,2012.059892654419,0.0,0
2020-02-18,2012.059892654419,2012.059892654419,0.0,0
2020-02-19,2012.059892654419,2012.059892654419,0.0,0
2020-02-20,2012.059892654419,2012.059892654419,0.0,0
2020-02-21,2012.059892654419,2012.059892654419,0.0,0
2020-02-24,2012.059892654419,2012.059892654419,0.0,0
2020-02-25,2012.059892654419,2012.059892654419,0.0,0
2020-02-26,2012.059892654419,2012.059892654419,0.0,0
2020-02-27,2012.059892654419,2012.059892654419,0.0,0
2020-02-28,2012.059892654419,2012.059892654419,0.0,0
2020-03-02,2012.059892654419,2012.059892654419,0.0,0
2020-03-03,2012.059892654419,2012.059892654419,0.0,0
2020-03-04,2012.059892654419,2012.059892654419,0.0,0
2020-03-05,2010.4438171386719,6.603801727294922,2003.840015411377,202
2020-03-06,2010.4438171386719,6.603801727294922,2003.840015411377,202
2020-03-09,2010.4438171386719,6.603801727294922,2003.840015411377,202
2020-03-10,2010.4438171386719,6.603801727294922,2003.840015411377,202
2020-03-11,2012.4638633728027,6.603801727294922,2005.8600616455078,202
2020-03-12,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-13,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-16,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-17,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-18,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-19,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-20,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-23,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-24,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-25,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-26,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-27,1986.2038402557373,1986.2038402557373,0.0,0
2020-03-30,1956.0537252426147,6.353763580322266,1949.6999616622925,201
2020-03-31,1960.0738172531128,6.353763580322266,1953.7200536727905,201
2020-04-01,1964.0937175750732,6.353763580322266,1957.739953994751,201
2020-04-02,1946.0036869049072,6.353763580322266,1939.649923324585,201
2020-04-03,1962.0836715698242,6.353763580322266,1955.729907989502,201
2020-04-06,1941.9837865829468,6.353763580322266,1935.6300230026245,201
2020-04-07,1956.0537252426147,6.353763580322266,1949.6999616622925,201
2020-04-08,1939.9737405776978,6.353763580322266,1933.6199769973755,201
2020-04-09,1976.1538019180298,6.353763580322266,1969.8000383377075,201
2020-04-13,1958.0637712478638,6.353763580322266,1951.7100076675415,201
2020-04-14,1970.1238555908203,6.353763580322266,1963.770092010498,201
2020-04-15,1956.0537252426147,6.353763580322266,1949.6999616622925,201
2020-04-16,1960.0738172531128,6.353763580322266,1953.7200536727905,201
2020-04-17,1968.1138095855713,1968.1138095855713,0.0,0
2020-04-20,1968.1138095855713,6.353763580322266,1961.760046005249,201
2020-04-21,1968.1138095855713,6.353763580322266,1961.760046005249,201
2020-04-22,1962.0836715698242,6.353763580322266,1955.729907989502,201
2020-04-23,1994.2438325881958,6.353763580322266,1987.8900690078735,201
2020-04-24,1964.0937175750732,6.353763580322266,1957.739953994751,201
2020-04-27,1966.1037635803223,6.353763580322266,1959.75,201
2020-04-28,1994.2438325881958,6.353763580322266,1987.8900690078735,201
2020-04-29,1994.2438325881958,6.353763580322266,1987.8900690078735,201
2020-04-30,1994.2438325881958,6.353763580322266,1987.8900690078735,201
2020-05-01,1975.1487789154053,6.353763580322266,1968.795015335083,201
2020-05-04,1975.1487789154053,6.353763580322266,1968.795015335083,201
2020-05-05,1976.1538019180298,6.353763580322266,1969.8000383377075,201
2020-05-06,1966.1037635803223,6.353763580322266,1959.75,201
2020-05-07,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-08,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-11,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-12,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-13,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-14,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-15,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-18,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-19,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-20,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-21,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-22,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-26,1962.0836715698242,1962.0836715698242,0.0,0
2020-05-27,1972.1837100982666,4.703756332397461,1967.4799537658691,202
2020-05-28,1994.4038333892822,4.703756332397461,1989.7000770568848,202
2020-05-29,1974.2037563323975,4.703756332397461,1969.5,202
2020-06-01,1994.4038333892822,4.703756332397461,1989.7000770568848,202
2020-06-02,2002.4838256835938,4.703756332397461,1997.7800693511963,202
2020-06-03,1977.2338256835938,4.703756332397461,1972.5300693511963,202
2020-06-04,1974.2037563323975,4.703756332397461,1969.5,202
2020-06-05,1989.353717803955,4.703756332397461,1984.6499614715576,202
2020-06-08,1970.1636638641357,4.703756332397461,1965.4599075317383,202
2020-06-09,2004.5036792755127,4.703756332397461,1999.7999229431152,202
2020-06-10,1994.4038333892822,4.703756332397461,1989.7000770568848,202
2020-06-11,1982.283748626709,4.703756332397461,1977.5799922943115,202
2020-06-12,1983.0916900634766,4.703756332397461,1978.387933731079,202
2020-06-15,1980.2637023925781,1980.2637023925781,0.0,0
2020-06-16,1980.2637023925781,1980.2637023925781,0.0,0
2020-06-17,1980.2637023925781,1980.2637023925781,0.0,0
2020-06-18,1980.2637023925781,1980.2637023925781,0.0,0
2020-06-19,1980.2637023925781,1980.2637023925781,0.0,0
2020-06-22,1995.3386640548706,0.41362571716308594,1994.9250383377075,201
2020-06-23,1998.3535413742065,0.41362571716308594,1997.9399156570435,201
2020-06-24,2000.3635873794556,0.41362571716308594,1999.9499616622925,201
2020-06-25,2000.3635873794556,0.41362571716308594,1999.9499616622925,201
2020-06-26,2001.9716625213623,0.41362571716308594,2001.5580368041992,201
2020-06-29,2016.4435720443726,0.41362571716308594,2016.0299463272095,201
2020-06-30,2019.458641052246,0.41362571716308594,2019.045015335083,201
2020-07-01,2010.413625717163,0.41362571716308594,2010.0,201
2020-07-02,2028.503656387329,0.41362571716308594,2028.090030670166,201
2020-07-06,2010.413625717163,0.41362571716308594,2010.0,201
2020-07-07,2000.3635873794556,0.41362571716308594,1999.9499616622925,201
2020-07-08,2002.3736333847046,0.41362571716308594,2001.9600076675415,201
2020-07-09,2017.448595046997,0.41362571716308594,2017.034969329834,201
2020-07-10,2042.573595046997,0.41362571716308594,2042.159969329834,201
2020-07-13,2038.5536947250366,0.41362571716308594,2038.1400690078735,201
2020-07-14,2044.583641052246,0.41362571716308594,2044.170015335083,201
2020-07-15,2040.563549041748,0.41362571716308594,2040.149923324585,201
2020-07-16,2070.7136640548706,0.41362571716308594,2070.3000383377075,201
2020-07-17,2076.74361038208,0.41362571716308594,2076.329984664917,201
2020-07-20,2062.673671722412,0.41362571716308594,2062.260046005249,201
2020-07-21,2062.673671722412,0.41362571716308594,2062.260046005249,201
2020-07-22,2078.753656387329,0.41362571716308594,2078.340030670166,201
2020-07-23,2074.733564376831,0.41362571716308594,2074.319938659668,201
2020-07-24,2074.733564376831,0.41362571716308594,2074.319938659668,201
2020-07-27,2072.7237100601196,0.41362571716308594,2072.3100843429565,201
2020-07-28,2072.7237100601196,0.41362571716308594,2072.3100843429565,201
2020-07-29,2072.7237100601196,0.41362571716308594,2072.3100843429565,201
2020-07-30,2057.2465858459473,0.41362571716308594,2056.832960128784,201
2020-07-31,2040.563549041748,2040.563549041748,0.0,0
2020-08-03,2040.563549041748,2040.563549041748,0.0,0
2020-08-04,2040.563549041748,2040.563549041748,0.0,0
2020-08-05,2040.563549041748,2040.563549041748,0.0,0
2020-08-06,2040.563549041748,2040.563549041748,0.0,0
2020-08-07,2040.563549041748,2040.563549041748,0.0,0
2020-08-10,2040.563549041748,2040.563549041748,0.0,0
2020-08-11,2040.563549041748,2040.563549041748,0.0,0
2020-08-12,2040.563549041748,2040.563549041748,0.0,0
2020-08-13,2040.563549041748,2040.563549041748,0.0,0
2020-08-14,2040.563549041748,2040.563549041748,0.0,0
2020-08-17,2040.563549041748,2040.563549041748,0.0,0
2020-08-18,2040.563549041748,2040.563549041748,0.0,0
2020-08-19,2040.563549041748,2040.563549041748,0.0,0
2020-08-20,2040.563549041748,2040.563549041748,0.0,0
2020-08-21,2040.563549041748,2040.563549041748,0.0,0
2020-08-24,2040.563549041748,2040.563549041748,0.0,0
2020-08-25,2040.563549041748,2040.563549041748,0.0,0
2020-08-26,2040.563549041748,2040.563549041748,0.0,0
2020-08-27,2040.563549041748,2040.563549041748,0.0,0
2020-08-28,2040.563549041748,2040.563549041748,0.0,0
2020-08-31,2040.563549041748,2040.563549041748,0.0,0
2020-09-01,2040.563549041748,2040.563549041748,0.0,0
2020-09-02,2052.923635482788,1.1636276245117188,2051.7600078582764,206
2020-09-03,2061.1636276245117,1.1636276245117188,2060.0,206
2020-09-04,2063.22367477417,1.1636276245117188,2062.060047149658,206
2020-09-08,2071.4636669158936,1.1636276245117188,2070.300039291382,206
2020-09-09,2073.5237140655518,1.1636276245117188,2072.36008644104,206
2020-09-10,2083.8235569000244,1.1636276245117188,2082.6599292755127,206
2020-09-11,2071.4636669158936,1.1636276245117188,2070.300039291382,206
2020-09-14,2067.343572616577,1.1636276245117188,2066.1799449920654,206
2020-09-15,2072.081720352173,1.1636276245117188,2070.918092727661,206
2020-09-16,2067.343572616577,1.1636276245117188,2066.1799449920654,206
2020-09-17,2075.583564758301,1.1636276245117188,2074.419937133789,206
2020-09-18,2094.1235961914062,1.1636276245117188,2092.9599685668945,206
2020-09-21,2094.1235961914062,1.1636276245117188,2092.9599685668945,206
2020-09-22,2092.063549041748,1.1636276245117188,2090.8999214172363,206
2020-09-23,2081.7637062072754,1.1636276245117188,2080.6000785827637,206
