Time,Balance,Cash,Equity,Positions,Daily_return
2016-04-04,2000.0,2000,0.0,0,
2016-04-05,2000.0,2000,0.0,0,0.0
2016-04-06,2000.0,2000,0.0,0,0.0
2016-04-07,2000.0,2000,0.0,0,0.0
2016-04-08,2000.0,2000,0.0,0,0.0
2016-04-11,2000.0,2000,0.0,0,0.0
2016-04-12,2000.0,2000,0.0,0,0.0
2016-04-13,2000.0,2000,0.0,0,0.0
2016-04-14,2000.0,2000,0.0,0,0.0
2016-04-15,2000.0,2000,0.0,0,0.0
2016-04-18,2000.0,2000,0.0,0,0.0
2016-04-19,2000.0,2000,0.0,0,0.0
2016-04-20,2000.0,2000,0.0,0,0.0
2016-04-21,2000.0,2000,0.0,0,0.0
2016-04-22,2000.0,2000,0.0,0,0.0
2016-04-25,2000.0,2000,0.0,0,0.0
2016-04-26,2000.0,2000,0.0,0,0.0
2016-04-27,2000.0,2000,0.0,0,0.0
2016-04-28,2000.0,2000,0.0,0,0.0
2016-04-29,2000.0,2000,0.0,0,0.0
2016-05-02,2000.0,2000,0.0,0,0.0
2016-05-03,2000.0,2000,0.0,0,0.0
2016-05-04,2000.0,2000,0.0,0,0.0
2016-05-05,2000.0,2000,0.0,0,0.0
2016-05-06,2000.0,2000,0.0,0,0.0
2016-05-09,2000.0,2000,0.0,0,0.0
2016-05-10,2000.0,2000,0.0,0,0.0
2016-05-11,2000.0,2000,0.0,0,0.0
2016-05-12,2000.0,2000,0.0,0,0.0
2016-05-13,2000.0,2000,0.0,0,0.0
2016-05-16,2001.6199340820312,78.85993957519531,1922.759994506836,18,0.0008099670410155468
2016-05-17,1977.5,78.85993957519531,1898.6400604248047,18,-0.012050206770693905
2016-05-18,1984.3399505615234,78.85993957519531,1905.4800109863281,18,0.003458887768153396
2016-05-19,1974.4398956298828,78.85993957519531,1895.5799560546875,18,-0.004989092180923471
2016-05-20,1995.3199615478516,78.85993957519531,1916.4600219726562,18,0.010575184367062063
2016-05-23,1992.7999725341797,78.85993957519531,1913.9400329589844,18,-0.0012629498337284328
2016-05-24,2031.1399230957031,78.85993957519531,1952.2799835205078,18,0.019239236797443215
2016-05-25,2045.1799011230469,78.85993957519531,1966.3199615478516,18,0.006912363775482877
2016-05-26,2050.939895629883,78.85993957519531,1972.0799560546875,18,0.0028163754707706268
2016-05-27,2061.1998901367188,78.85993957519531,1982.3399505615234,18,0.0050025817571239806
2016-05-31,2064.9798736572266,78.85993957519531,1986.1199340820312,18,0.0018338752775002298
2016-06-01,2065.159912109375,78.85993957519531,1986.2999725341797,18,8.718654086914412e-05
2016-06-02,2069.2999725341797,78.85993957519531,1990.4400329589844,18,0.0020047166326098154
2016-06-03,2059.939895629883,78.85993957519531,1981.0799560546875,18,-0.004523305962660373
2016-06-06,2067.139923095703,78.85993957519531,1988.2799835205078,18,0.003495260944795131
2016-06-07,2062.0999450683594,78.85993957519531,1983.240005493164,18,-0.0024381407233410313
2016-06-08,2065.519989013672,78.85993957519531,1986.6600494384766,18,0.0016585248224711968
2016-06-09,2062.279983520508,78.85993957519531,1983.4200439453125,18,-0.001568614930088974
2016-06-10,2039.7799835205078,78.85993957519531,1960.9200439453125,18,-0.010910254756771876
2016-06-13,2023.399917602539,2023.399917602539,0.0,0,-0.008030310156146303
2016-06-14,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-15,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-16,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-17,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-20,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-21,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-22,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-23,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-24,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-27,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-28,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-29,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-06-30,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-07-01,2023.399917602539,2023.399917602539,0.0,0,0.0
2016-07-05,2032.579818725586,99.01985168457031,1933.5599670410156,18,0.004536869376728925
2016-07-06,2048.419906616211,99.01985168457031,1949.4000549316406,18,0.007793095131957362
2016-07-07,2054.179901123047,99.01985168457031,1955.1600494384766,18,0.0028119207825658687
2016-07-08,2084.419906616211,99.01985168457031,1985.4000549316406,18,0.014721206003734943
2016-07-11,2095.7598571777344,99.01985168457031,1996.740005493164,18,0.005440338832655156
2016-07-12,2105.839813232422,99.01985168457031,2006.8199615478516,18,0.004809690394710353
2016-07-13,2100.9798736572266,99.01985168457031,2001.9600219726562,18,-0.0023078391550283017
2016-07-14,2114.659912109375,99.01985168457031,2015.6400604248047,18,0.006511265825852597
2016-07-15,2111.419906616211,99.01985168457031,2012.4000549316406,18,-0.0015321638598294607
2016-07-18,2124.7398681640625,99.01985168457031,2025.7200164794922,18,0.006308532711145176
2016-07-19,2117.3598022460938,99.01985168457031,2018.3399505615234,18,-0.003473397392569133
2016-07-20,2140.939895629883,99.01985168457031,2041.9200439453125,18,0.011136554759741513
2016-07-21,2136.2598571777344,99.01985168457031,2037.240005493164,18,-0.0021859737686711345
2016-07-22,2144.7198791503906,99.01985168457031,2045.7000274658203,18,0.003960202661783319
2016-07-25,2144.899917602539,99.01985168457031,2045.8800659179688,18,8.394497290709069e-05
2016-07-26,2147.2398681640625,99.01985168457031,2048.220016479492,18,0.0010909369441063355
2016-07-27,2161.4598846435547,99.01985168457031,2062.4400329589844,18,0.006622462953638442
2016-07-28,2168.659912109375,99.01985168457031,2069.6400604248047,18,0.0033310946536524444
2016-07-29,2173.159912109375,99.01985168457031,2074.1400604248047,18,0.002075014148079646
2016-08-01,2184.1397857666016,99.01985168457031,2085.1199340820312,18,0.005052492269917108
2016-08-02,2168.299835205078,99.01985168457031,2069.279983520508,18,-0.007252260438982749
2016-08-03,2175.1397857666016,99.01985168457031,2076.1199340820312,18,0.003154522474460464
2016-08-04,2181.079818725586,99.01985168457031,2082.0599670410156,18,0.0027308741248972535
2016-08-05,2201.059829711914,99.01985168457031,2102.0399780273438,18,0.00916060513457162
2016-08-08,2198.7198791503906,99.01985168457031,2099.7000274658203,18,-0.0010631017521361974
2016-08-09,2203.579818725586,99.01985168457031,2104.5599670410156,18,0.0022103495862662026
2016-08-10,2198.179901123047,99.01985168457031,2099.1600494384766,18,-0.0024505205378319017
2016-08-11,2207.179901123047,99.01985168457031,2108.1600494384766,18,0.004094296374651529
2016-08-12,2208.6197967529297,99.01985168457031,2109.5999450683594,18,0.0006523689478823425
2016-08-15,2217.6197967529297,99.01985168457031,2118.5999450683594,18,0.004074943099410699
2016-08-16,2205.919906616211,99.01985168457031,2106.9000549316406,18,-0.005275877386128114
2016-08-17,2209.6998901367188,99.01985168457031,2110.6800384521484,18,0.001713563357024217
2016-08-18,2210.2398681640625,99.01985168457031,2111.220016479492,18,0.0002443671331813224
2016-08-19,2209.6998901367188,99.01985168457031,2110.6800384521484,18,-0.0002443074324743888
2016-08-22,2211.31982421875,99.01985168457031,2112.2999725341797,18,0.0007331013995439672
2016-08-23,2215.099807739258,99.01985168457031,2116.0799560546875,18,0.0017093789324857944
2016-08-24,2197.9998626708984,2197.9998626708984,0.0,0,-0.007719717643699164
2016-08-25,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-08-26,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-08-29,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-08-30,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-08-31,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-09-01,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-09-02,2197.9998626708984,2197.9998626708984,0.0,0,0.0
2016-09-06,2196.0198516845703,74.71987915039062,2121.2999725341797,18,-0.0009008239809087382
2016-09-07,2197.2798461914062,74.71987915039062,2122.5599670410156,18,0.000573762803587341
2016-09-08,2184.8599395751953,74.71987915039062,2110.1400604248047,18,-0.005652400916405176
2016-09-09,2168.659912109375,2168.659912109375,0.0,0,-0.007414675500421408
2016-09-12,2168.659912109375,2168.659912109375,0.0,0,0.0
2016-09-13,2168.659912109375,2168.659912109375,0.0,0,0.0
2016-09-14,2168.659912109375,2168.659912109375,0.0,0,0.0
2016-09-15,2168.659912109375,2168.659912109375,0.0,0,0.0
2016-09-16,2168.659912109375,2168.659912109375,0.0,0,0.0
2016-09-19,2161.0999450683594,59.059967041015625,2102.0399780273438,18,-0.003486008570916188
2016-09-20,2165.0599670410156,59.059967041015625,2106.0,18,0.0018324103805069658
2016-09-21,2185.759994506836,59.059967041015625,2126.7000274658203,18,0.009560948787072698
2016-09-22,2202.679901123047,59.059967041015625,2143.6199340820312,18,0.007740971862754131
2016-09-23,2189.0,59.059967041015625,2129.9400329589844,18,-0.00621057154790039
2016-09-26,2171.179901123047,59.059967041015625,2112.1199340820312,18,-0.008140748687507138
2016-09-27,2192.0599670410156,59.059967041015625,2133.0,18,0.00961692115294932
2016-09-28,2195.659912109375,59.059967041015625,2136.5999450683594,18,0.0016422657785311046
2016-09-29,2180.179901123047,59.059967041015625,2121.1199340820312,18,-0.007050277185894571
2016-09-30,2196.019989013672,59.059967041015625,2136.9600219726562,18,0.007265495788886689
2016-10-03,2192.9600219726562,59.059967041015625,2133.9000549316406,18,-0.0013934149307948118
2016-10-04,2189.720016479492,59.059967041015625,2130.6600494384766,18,-0.001477457619245448
