Time,Balance,Cash,Equity,Positions
2017-12-05,2000.0,2000,0.0,0
2017-12-06,2000.0,2000,0.0,0
2017-12-07,2000.0,2000,0.0,0
2017-12-08,2000.0,2000,0.0,0
2017-12-11,2000.0,2000,0.0,0
2017-12-12,2000.0,2000,0.0,0
2017-12-13,2000.0,2000,0.0,0
2017-12-14,2000.0,2000,0.0,0
2017-12-15,2000.0,2000,0.0,0
2017-12-18,2000.0,2000,0.0,0
2017-12-19,2000.0,2000,0.0,0
2017-12-20,2000.0,2000,0.0,0
2017-12-21,2000.0,2000,0.0,0
2017-12-22,2000.0,2000,0.0,0
2017-12-26,2000.0,2000,0.0,0
2017-12-27,2000.0,2000,0.0,0
2017-12-28,2000.0,2000,0.0,0
2017-12-29,2000.0,2000,0.0,0
2018-01-02,2000.0,2000,0.0,0
2018-01-03,2000.0,2000,0.0,0
2018-01-04,2000.0,2000,0.0,0
2018-01-05,2000.0,2000,0.0,0
2018-01-08,2000.0,2000,0.0,0
2018-01-09,2000.0,2000,0.0,0
2018-01-10,2000.0,2000,0.0,0
2018-01-11,2000.0,2000,0.0,0
2018-01-12,2000.0,2000,0.0,0
2018-01-16,2000.0,2000,0.0,0
2018-01-17,2000.0,2000,0.0,0
2018-01-18,2000.0,2000,0.0,0
2018-01-19,2000.0,2000,0.0,0
2018-01-22,2000.0,2000,0.0,0
2018-01-23,2000.0,2000,0.0,0
2018-01-24,2000.0,2000,0.0,0
2018-01-25,2000.0,2000,0.0,0
2018-01-26,2000.0,2000,0.0,0
2018-01-29,2000.0,2000,0.0,0
2018-01-30,2000.0,2000,0.0,0
2018-01-31,2000.0,2000,0.0,0
2018-02-01,2000.0,2000,0.0,0
2018-02-02,2000.0,2000,0.0,0
2018-02-05,2000.0,2000,0.0,0
2018-02-06,2000.0,2000,0.0,0
2018-02-07,2000.0,2000,0.0,0
2018-02-08,2000.0,2000,0.0,0
2018-02-09,2000.0,2000,0.0,0
2018-02-12,2000.0,2000,0.0,0
2018-02-13,2000.0,2000,0.0,0
2018-02-14,2000.0,2000,0.0,0
2018-02-15,2000.0,2000,0.0,0
2018-02-16,2001.9200439453125,3.2000732421875,1998.719970703125,96
2018-02-20,2015.1680908203125,3.2000732421875,2011.968017578125,96
2018-02-21,2006.7201538085938,3.2000732421875,2003.5200805664062,96
2018-02-22,2013.4401245117188,3.2000732421875,2010.2400512695312,96
2018-02-23,2024.9600219726562,3.2000732421875,2021.7599487304688,96
2018-02-26,2046.0801391601562,3.2000732421875,2042.8800659179688,96
