Time,Position,Buy_price,Sell_price,Gain/loss
2016-05-16,18,106.7300033569336,108.02999877929688,23.399917602539062
2016-07-05,18,106.91000366210938,116.61000061035156,174.59994506835938
2016-09-06,18,117.95999908447266,116.33000183105469,-29.339950561523438
2016-09-19,18,117.19999694824219,117.41999816894531,3.96002197265625
2016-10-24,18,119.63999938964844,115.18000030517578,-80.27998352050781
2016-11-16,17,116.8499984741211,116.5999984741211,-4.25
2016-12-09,17,118.97000122070312,118.4800033569336,-8.329963684082031
2017-01-06,17,122.02999877929688,130.36000061035156,141.6100311279297
2017-03-30,16,132.27999877929688,130.39999389648438,-30.080078125
2017-04-21,16,134.02999877929688,137.83999633789062,60.9599609375
2017-05-22,16,139.41000366210938,140.36000061035156,15.199951171875
2017-06-28,16,139.44000244140625,137.63999938964844,-28.800048828125
2017-07-12,15,140.8699951171875,143.38999938964844,37.80006408691406
2017-08-16,15,143.72000122070312,141.22999572753906,-37.35008239746094
2017-08-29,15,143.08999633789062,144.4600067138672,20.550155639648438
2017-10-03,15,145.61000061035156,147.42999267578125,27.299880981445312
2017-10-27,15,151.1300048828125,152.80999755859375,25.19989013671875
2017-12-13,14,156.25999450683594,158.49000549316406,31.22015380859375
2018-01-03,14,160.5800018310547,158.1199951171875,-34.440093994140625
2018-02-16,14,164.3800048828125,162.8000030517578,-22.120025634765625
2018-04-11,14,161.25,161.99000549316406,10.360076904296875
2018-05-07,13,165.88999938964844,170.17999267578125,55.76991271972656
2018-05-30,13,170.17999267578125,172.07000732421875,24.5701904296875
2018-07-09,13,177.52000427246094,176.4499969482422,-13.91009521484375
2018-08-07,13,181.5500030517578,180.36000061035156,-15.47003173828125
2018-08-24,12,183.39999389648438,183.1199951171875,-3.3599853515625
2018-09-21,12,182.0500030517578,179.0500030517578,-36.0
2018-11-07,13,174.75999450683594,168.08999633789062,-86.70997619628906
2018-11-29,13,168.3800048828125,165.10000610351562,-42.639984130859375
2019-01-04,13,156.6199951171875,174.72999572753906,235.4300079345703
2019-03-12,13,176.60000610351562,185.77000427246094,119.20997619628906
2019-06-10,13,185.05999755859375,190.14999389648438,66.16995239257812
2019-08-19,13,187.9600067138672,184.42999267578125,-45.89018249511719
2019-08-29,13,188.92999267578125,187.97000122070312,-12.479888916015625
2019-10-11,13,190.83999633789062,202.8300018310547,155.8700714111328
2019-12-06,13,204.6300048828125,222.60000610351562,233.61001586914062
2020-02-04,12,230.2100067138672,215.3699951171875,-178.08013916015625
2020-03-26,14,186.92999267578125,260.1199951171875,1024.6600341796875
2020-07-31,14,268.0,277.8800048828125,138.320068359375
2020-09-29,14,276.1499938964844,284.739990234375,120.25994873046875
2020-11-05,13,293.7099914550781,294.4700012207031,9.880126953125
2020-11-24,13,295.57000732421875,314.9800109863281,252.33004760742188
2021-01-07,13,317.3399963378906,321.4800109863281,53.8201904296875
2021-03-15,13,321.0899963378906,315.9100036621094,-67.33990478515625
