Time,Position,Buy_price,Sell_price,Gain/loss
2016-05-05,9,204.6549513566101,208.0399932861328,30.465377365704427
2016-06-27,10,201.56459419424192,216.17999267578125,146.1539848153933
2016-08-03,10,215.57662072199258,217.6999969482422,21.233762262496043
2016-09-12,10,214.82375845793814,216.16000366210938,13.362452041712345
2016-10-12,10,213.360735300837,211.00999450683594,-23.507407940010694
2016-11-02,10,210.4263680507092,226.27000427246094,158.4363622175175
2017-03-22,10,234.18457085551557,232.50999450683594,-16.745763486796363
2017-04-17,9,233.30113176777198,236.77000427246094,31.21985254220064
2017-05-18,9,236.49672953304074,242.9499969482422,58.07940673681307
2017-08-11,9,244.40295633657036,250.35000610351562,53.52344790250743
2018-02-05,9,269.98712310337135,272.8800048828125,26.03593601497039
2018-03-23,9,261.44341478468203,266.55999755859375,46.049244965205446
2018-06-26,9,271.2896664235077,289.04998779296875,159.84289232514948
2018-10-08,9,287.68522561188894,269.1000061035156,-167.26697557535982
2018-12-24,10,236.62184167604883,274.4599914550781,378.38149779029294
2019-05-08,10,287.6385774129386,297.8999938964844,102.61416483545759
2019-08-02,10,293.58007472219765,286.8699951171875,-67.10079605010151
2019-09-25,9,295.9742115776436,312.0199890136719,144.4119969242546
2020-02-25,9,319.3349668688799,284.9700012207031,-309.2846908335911
2020-09-24,8,321.6342792024696,345.7799987792969,193.1657566146182
2020-10-29,9,328.72210120090483,367.57000732421875,349.6311551098253
2021-02-01,8,370.9235400033385,391.7699890136719,166.7715920826672
2021-02-26,9,382.0150401479502,389.70001220703125,69.16474853172969
