Time,Position,Buy_price,Sell_price,Gain/loss
2018-02-16,96,20.799999237060547,21.040000915527344,23.0401611328125
2018-03-12,95,21.290000915527344,20.719999313354492,-54.1501522064209
2018-04-11,97,20.170000076293945,19.618999481201172,-53.44705772399902
2018-05-08,96,19.836999893188477,20.969999313354492,108.7679443359375
2018-07-06,97,20.746000289916992,20.988000869750977,23.474056243896484
2018-08-20,96,21.309999465942383,21.608999252319336,28.7039794921875
2018-09-21,95,21.84000015258789,21.114999771118164,-68.87503623962402
2018-11-01,95,20.940000534057617,20.329999923706055,-57.95005798339844
2018-11-30,91,21.3799991607666,20.56800079345703,-73.8918514251709
2019-01-07,95,19.632999420166016,21.885000228881836,213.94007682800293
2019-03-18,96,21.709999084472656,21.625,-8.159912109375
2019-04-01,94,22.100000381469727,22.28499984741211,17.389949798583984
2019-04-23,93,22.520000457763672,21.860000610351562,-61.37998580932617
2019-06-11,99,20.450000762939453,20.565000534057617,11.384977340698242
2019-08-20,100,20.31999969482422,20.649999618530273,32.99999237060547
2019-10-16,101,20.420000076293945,22.450000762939453,205.0300693511963
2019-12-10,101,22.59000015258789,22.1299991607666,-46.460100173950195
2020-01-08,97,23.076000213623047,23.541000366210938,45.10501480102539
2020-02-10,96,23.770000457763672,22.389999389648438,-132.4801025390625
2020-03-26,128,16.81100082397461,21.81999969482422,641.15185546875
2020-05-18,123,22.65999984741211,24.281999588012695,199.50596809387207
2020-06-19,118,25.31999969482422,23.915000915527344,-165.78985595703125
2020-07-14,113,25.014999389648438,25.045000076293945,3.390077590942383
2020-08-04,108,26.1200008392334,26.020000457763672,-10.800041198730469
2020-09-18,112,25.06999969482422,24.59000015258789,-53.75994873046875
2020-10-05,107,25.829999923706055,25.549999237060547,-29.960073471069336
2020-11-09,107,25.469999313354492,33.689998626708984,879.5399265289307
2021-02-02,105,34.189998626708984,34.86000061035156,70.3502082824707
2021-03-15,110,33.439998626708984,31.139999389648438,-252.99991607666016
