Time,Position,Buy_price,Sell_price,Gain/loss
2016-05-10,2,723.4099731445312,720.0900268554688,-6.639892578125
2016-05-25,2,722.8699951171875,718.3599853515625,-9.02001953125
2016-07-06,2,698.0800170898438,775.4199829101562,154.679931640625
2016-09-06,2,780.0,759.6900024414062,-40.6199951171875
2016-09-21,2,780.0,776.8599853515625,-6.280029296875
2016-10-12,2,781.219970703125,768.7000122070312,-25.0399169921875
2016-11-28,2,771.530029296875,762.52001953125,-18.02001953125
2016-12-08,2,780.0,782.7899780273438,5.5799560546875
2017-01-06,2,806.4000244140625,795.6950073242188,-21.4100341796875
2017-02-14,2,819.3599853515625,817.5800170898438,-3.5599365234375
2017-04-05,2,832.4000244140625,823.5599975585938,-17.6800537109375
2017-04-18,2,839.7899780273438,934.010009765625,188.4400634765625
2017-05-23,2,952.97998046875,953.4000244140625,0.840087890625
2017-07-13,2,952.0,941.530029296875,-20.93994140625
2017-08-23,2,928.6599731445312,915.0,-27.3199462890625
2017-09-27,2,941.3599853515625,973.3300170898438,63.9400634765625
2017-10-27,2,1014.0,1032.5,37.0
2017-11-24,2,1040.0,998.6799926757812,-82.6400146484375
2017-12-12,2,1046.1199951171875,1046.4000244140625,0.56005859375
2018-01-03,1,1088.0,1055.800048828125,-32.199951171875
2018-02-20,1,1106.469970703125,1095.06005859375,-11.409912109375
2018-03-09,1,1163.8499755859375,1049.0799560546875,-114.77001953125
2018-04-11,1,1025.0400390625,1030.050048828125,5.010009765625
2018-05-09,1,1086.030029296875,1079.239990234375,-6.7900390625
2018-06-01,1,1122.3299560546875,1103.97998046875,-18.3499755859375
2018-07-10,1,1144.5899658203125,1237.6099853515625,93.02001953125
2018-08-14,1,1229.260009765625,1200.9599609375,-28.300048828125
2018-08-28,1,1237.449951171875,1171.43994140625,-66.010009765625
2018-09-21,1,1157.1700439453125,1148.969970703125,-8.2000732421875
2018-11-08,1,1073.989990234375,1043.6600341796875,-30.3299560546875
2018-11-15,1,1059.4100341796875,1020.0,-39.4100341796875
2018-11-28,1,1076.0799560546875,1063.6800537109375,-12.39990234375
2019-01-02,1,1041.0,1089.06005859375,48.06005859375
2019-01-30,1,1103.0,1113.800048828125,10.800048828125
2019-02-26,1,1106.949951171875,1168.489990234375,61.5400390625
2019-04-04,1,1214.989990234375,1162.6099853515625,-52.3800048828125
2019-06-14,1,1086.280029296875,1080.9100341796875,-5.3699951171875
2019-07-03,1,1117.800048828125,1132.1199951171875,14.3199462890625
2019-07-26,1,1241.050048828125,1174.7099609375,-66.340087890625
2019-08-20,1,1193.1500244140625,1168.8900146484375,-24.260009765625
2019-08-30,1,1177.030029296875,1205.0999755859375,28.0699462890625
2019-10-15,1,1241.1700439453125,1306.68994140625,65.5198974609375
2019-12-05,1,1333.43994140625,1360.4000244140625,26.9600830078125
2019-12-26,1,1362.989990234375,1336.1400146484375,-26.8499755859375
2020-01-06,1,1397.93994140625,1434.22998046875,36.2900390625
2020-02-10,1,1511.81005859375,1388.449951171875,-123.360107421875
2020-03-30,1,1147.300048828125,1419.8499755859375,272.5499267578125
2020-06-22,1,1455.6400146484375,1394.969970703125,-60.6700439453125
2020-07-06,1,1490.0,1522.02001953125,32.02001953125
2020-08-13,1,1515.6600341796875,1556.9599609375,41.2999267578125
2020-10-02,1,1466.2099609375,1621.010009765625,154.800048828125
2020-10-30,1,1628.1600341796875,1734.8599853515625,106.699951171875
2020-11-27,1,1781.1839599609375,1767.77001953125,-13.4139404296875
2020-12-31,1,1757.5400390625,1740.9200439453125,-16.6199951171875
2021-01-07,1,1787.97998046875,1790.8599853515625,2.8800048828125
2021-01-19,1,1831.4599609375,2095.169921875,263.7099609375
2021-03-11,1,2085.0,2038.5899658203125,-46.4100341796875
