Time,Position,Buy_price,Sell_price,Gain/loss
2019-03-14,93,21.290000915527344,21.559999465942383,25.109865188598633
2019-04-01,92,21.850000381469727,22.368999481201172,47.74791717529297
2019-06-07,93,22.06999969482422,22.867000579833984,74.1210823059082
2019-08-21,97,21.940000534057617,21.309999465942383,-61.110103607177734
2019-10-11,96,21.65999984741211,23.549999237060547,181.43994140625
2019-12-17,93,24.139999389648438,25.680999755859375,143.3130340576172
2020-02-04,90,26.719999313354492,25.049999237060547,-150.30000686645508
2020-03-27,109,20.549999237060547,34.83000183105469,1556.5202827453613
2020-07-29,108,35.04999923706055,37.849998474121094,302.39991760253906
2020-09-23,109,37.630001068115234,42.61000061035156,542.8199501037598
2020-11-05,103,44.900001525878906,49.29999923706055,453.199764251709
2021-01-08,100,50.959999084472656,54.13999938964844,318.0000305175781
2021-02-02,95,56.619998931884766,54.970001220703125,-156.74978256225586
2021-03-16,98,53.5,49.47999954223633,-393.96004486083984
